seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
6,rulebase,1,31,2,2,4,0.000000,129.167000,0.309677,25,0.524282,48,0,0,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.017470,0.021339,0.011054,0.021339
6,rulebase,1,32,2,2,1,1.232263,129.167000,0.410754,25,0.524282,48,0,1,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,1.129878,1.097179,0.543155,0.018002,0.019430,0.011054,0.019430
6,rulebase,1,33,2,2,2,1.292904,129.167000,0.161613,25,0.524282,48,0,0,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.606767,0.609963,0.127596,0.037000,0.038668,0.011054,0.038668
6,rulebase,1,34,2,2,1,1.176059,129.167000,0.392020,25,0.524282,48,0,1,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,1.129878,1.097179,0.545497,0.017974,0.019402,0.011054,0.019402
6,rulebase,1,35,1,1,2,5.066646,74.333300,0.633331,26,0.524282,48,0,1,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.606767,0.633470,0.130866,0.009113,0.011054,-0.014754,0.009113
6,rulebase,1,36,0,0,3,0.000000,99.666700,1.003344,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.011054,0.013455,0.006342,0.013455
6,rulebase,1,37,1,1,4,0.000000,74.333300,0.538117,26,0.524282,48,0,1,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.007330,0.011054,0.001151,0.007330
6,rulebase,1,38,1,1,1,3.438192,74.333300,1.146064,26,0.524282,48,0,1,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.129878,1.138263,0.508119,0.009433,0.011054,0.002006,0.009433
6,rulebase,1,39,1,1,3,0.000000,74.333300,1.345292,26,0.524282,48,0,1,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.008675,0.011054,0.004004,0.008675
6,rulebase,1,40,0,0,2,5.021840,99.666700,0.627730,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627687,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,rulebase,1,41,0,0,2,5.021817,99.666700,0.627727,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627687,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,rulebase,1,42,0,0,2,5.021818,99.666700,0.627727,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627687,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,rulebase,1,43,0,0,2,5.020861,99.666700,0.627608,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627697,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,rulebase,1,44,2,2,4,0.000000,129.167000,0.309677,25,0.524282,48,0,0,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.017470,0.021339,0.011054,0.021339
6,rulebase,1,45,0,0,2,5.021888,99.666700,0.627736,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627686,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,rulebase,1,46,0,0,2,5.021864,99.666700,0.627733,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627687,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,rulebase,1,47,0,0,4,0.000000,99.666700,0.401338,29,0.524282,48,0,2,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.011054,0.014832,0.004789,0.014832
6,rulebase,1,48,1,1,4,0.000000,74.333300,0.538117,26,0.524282,48,0,1,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.007330,0.011054,0.001151,0.007330
6,rulebase,1,49,2,2,4,0.000000,129.167000,0.309677,25,0.524282,48,0,1,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.017470,0.021339,0.011054,0.021339
6,rulebase,1,50,2,2,1,1.179114,129.167000,0.393038,25,0.524282,48,0,0,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,1.129878,1.097179,0.545369,0.017976,0.019403,0.011054,0.019403
6,rulebase,1,51,0,0,2,5.021848,99.666700,0.627731,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627687,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,rulebase,1,52,0,0,3,0.000000,99.666700,1.003344,29,0.524282,48,0,0,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.011054,0.013455,0.006342,0.013455
6,rulebase,1,53,1,1,1,3.505804,74.333300,1.168601,26,0.524282,48,0,1,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.129878,1.134507,0.508119,0.009443,0.011054,0.002016,0.009443
6,rulebase,1,54,2,2,1,1.923201,129.167000,0.641067,25,0.524282,48,0,2,0,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,1.129878,1.097179,0.514366,0.018366,0.019796,0.011054,0.019796
6,rulebase,1,55,2,2,4,0.000000,129.167000,0.309677,25,0.524282,48,0,1,1,0.524282,0.524282,0.000000,0.000000,0.524282,0.000000,19,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.017470,0.021339,0.011054,0.021339
