seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec,expert_bs_id,run_index,source_file,source_condition,best_cycle,best_harmonic_mean,is_noop_to_best,sample_weight
7,multi_greedy,4,1,65,2,2,1,1.925423,58.3333,0.641808,26,0.337456,37,0,2,0,0.337456,0.408768,0.071312,0.071312,0.337456,0.0,4,0,1,-1,25,29,26,94.1667,85.1667,58.3333,1.124799,0.926336,0.617168,0.00562,0.002138,0.000184,0.00562,4,4,0,fixed,4,4,0,0,3.0,4.0,2,37,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K4/master_log_7_20260818_220713.csv,multi_greedy_K4,4,0.51164,1,1.1124
7,multi_greedy,6,1,59,2,2,2,0.792332,58.3333,0.099042,26,0.337456,37,0,0,1,0.337456,0.443662,0.106205,0.106205,0.337456,0.0,6,0,1,0,25,29,26,94.1667,85.1667,58.3333,0.835703,0.179992,0.098905,0.017582,0.007538,0.000184,0.017582,6,6,0,fixed,6,6,0,0,3.0,4.0,0,47,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_7_20260818_220722.csv,multi_greedy_K6,5,0.509411,0,1.35164
2,multi_greedy,1,1,43,2,2,1,1.623634,62.5,0.541211,31,0.314149,25,0,2,0,0.314149,0.335059,0.02091,0.02091,0.314149,0.0,1,0,1,-1,28,21,31,96.0,83.6667,62.5,1.129655,1.116247,0.51497,0.007493,0.007986,0.000153,0.007986,1,1,0,fixed,1,1,0,0,3.0,4.0,2,2,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_2_20260818_072353.csv,multi_greedy_K1,1,0.314149,1,1.15972
7,multi_greedy,3,1,30,2,2,1,1.883882,58.3333,0.627961,26,0.337456,37,0,2,0,0.337456,0.390795,0.053338,0.053338,0.337456,0.0,3,0,1,-1,25,29,26,94.1667,85.1667,58.3333,1.124799,0.926336,0.619476,0.005611,0.002129,0.000184,0.005611,3,3,0,fixed,3,3,0,0,3.0,4.0,2,27,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_7_20260818_220700.csv,multi_greedy_K3,5,0.517913,1,1.11222
2,multi_greedy,10,1,61,0,0,4,0.0,96.0,0.416667,28,0.314149,25,0,0,0,0.314149,0.582734,0.268585,0.268585,0.314149,0.0,10,0,1,0,28,21,31,96.0,83.6667,62.5,0.416667,0.478087,0.64,0.000153,0.00102,-0.004682,0.00102,10,10,0,fixed,10,10,0,0,3.0,4.0,2,12,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_2_20260818_073542.csv,multi_greedy_K10,4,0.621014,0,1.0204
6,multi_greedy,10,2,74,1,1,1,3.141054,78.6667,1.047018,29,0.661185,7,0,1,0,0.661185,0.782286,0.121101,0.121101,0.661185,0.101469,10,46,1,1,26,29,25,100.167,78.6667,54.3333,1.126007,1.128934,0.804235,0.051834,0.05256,0.053827,0.053827,10,10,0,fixed,10,10,0,0,3.0,4.0,1,16,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_6_20260819_055925.csv,multi_greedy_K10,3,0.709582,1,2.07654
4,multi_greedy,3,2,9,2,2,1,3.100871,61.5,1.033624,19,0.344878,27,0,2,0,0.344878,0.379908,0.03503,0.03503,0.344878,0.012683,3,42,1,-1,30,31,19,107.5,79.8333,61.5,1.131223,0.944015,1.156176,0.006165,0.004368,0.002589,0.006165,3,3,0,fixed,3,3,0,0,3.0,4.0,2,24,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_4_20260818_184626.csv,multi_greedy_K3,5,0.425522,1,1.1233
4,multi_greedy,3,1,49,1,1,1,2.781723,79.6667,0.927241,31,0.332194,28,0,1,0,0.332194,0.369885,0.037691,0.037691,0.332194,0.0,3,0,1,-1,27,31,22,107.5,79.6667,67.8333,1.133161,0.925845,0.746418,0.002445,0.000696,-0.002744,0.002445,3,3,0,fixed,3,3,0,0,3.0,4.0,1,24,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_4_20260818_184626.csv,multi_greedy_K3,5,0.425522,1,1.0489
4,multi_greedy,10,1,61,0,0,4,0.0,107.5,0.372093,27,0.332194,28,0,0,0,0.332194,0.431152,0.098958,0.098958,0.332194,0.0,10,0,1,0,27,31,22,107.5,79.6667,67.8333,0.372093,0.502092,0.589681,0.000696,0.000146,-0.002482,0.000146,10,10,0,fixed,10,10,0,0,3.0,4.0,2,14,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_4_20260818_182426.csv,multi_greedy_K10,3,0.446406,0,1.00292
1,multi_greedy,6,2,2,1,1,2,1.43383,79.5,0.179229,33,0.442783,24,0,0,1,0.442783,0.560069,0.117286,0.117286,0.442783,0.065969,6,32,1,0,26,33,21,110.0,79.5,54.6667,0.797892,0.16105,0.102621,0.016794,0.000268,-0.006085,0.016794,6,6,0,fixed,6,6,0,0,3.0,4.0,0,41,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_1_20260818_015558.csv,multi_greedy_K6,5,0.668232,0,1.33588
