seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
1003,online_dqn,3,1,34,0,0,1,2.686828,97.833300,0.895609,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,-1,28,25,27,97.833300,81.500000,109.500000,1.120851,1.069475,0.617452,0.003734,0.003902,-0.001872,0.003902
1003,online_dqn,3,1,35,1,1,4,0.000000,81.500000,0.490798,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.002991,0.003734,-0.002052,0.002991
1003,online_dqn,3,1,36,2,2,2,0.809774,109.500000,0.101222,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.100475,0.018018,0.017250,0.003734,0.018018
1003,online_dqn,3,1,37,2,2,2,0.920165,109.500000,0.115021,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.099325,0.018163,0.017395,0.003734,0.018163
1003,online_dqn,3,1,38,1,1,2,2.825184,81.500000,0.353148,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.348373,0.096942,0.004169,0.003734,-0.009744,0.004169
1003,online_dqn,3,1,39,2,2,4,0.000000,109.500000,0.365297,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.008972,0.009745,0.003734,0.009745
1003,online_dqn,3,1,40,1,1,4,0.000000,81.500000,0.490798,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.002991,0.003734,-0.002052,0.002991
1003,online_dqn,3,1,41,0,0,2,3.873181,97.833300,0.484148,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.475229,0.335548,0.096942,0.003734,0.002858,-0.010301,0.002858
1003,online_dqn,3,1,42,1,1,1,3.344882,81.500000,1.114961,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,-1,28,25,27,97.833300,81.500000,109.500000,1.055016,1.111577,0.617452,0.003376,0.003734,-0.002116,0.003376
1003,online_dqn,3,1,43,1,1,2,2.825173,81.500000,0.353147,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.348373,0.096942,0.004169,0.003734,-0.009744,0.004169
