seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,applied,skip_reason
22,online_dqn,4,1,27,2,2,0,0.055736,0.353198,0.353198,1.752848,3.031023,-0.653382,1.278175,1,
22,online_dqn,4,2,55,2,2,0,0.056831,0.353198,0.353198,1.636324,2.924067,-0.619739,1.287743,1,
22,online_dqn,4,3,40,2,2,0,0.056831,0.353198,0.353198,1.523059,2.816244,-0.584123,1.293185,1,
22,online_dqn,4,4,32,2,2,0,0.056962,0.353198,0.353198,1.422007,2.716500,-0.549184,1.294493,1,
22,online_dqn,4,5,34,2,2,0,0.056965,0.353198,0.353198,1.328878,2.622293,-0.518920,1.293415,1,
22,online_dqn,4,6,30,2,2,0,0.057373,0.353198,0.353198,1.236678,2.529468,-0.491961,1.292790,1,
22,online_dqn,4,7,69,0,0,2,0.450821,0.353198,0.353198,-0.205455,1.519660,1.004761,1.314205,1,
22,online_dqn,4,8,62,0,0,0,0.450825,0.353198,0.353198,0.000000,1.542306,0.981458,1.323707,0,same_bs
22,online_dqn,4,9,78,0,0,0,0.450827,0.353198,0.353198,0.000000,1.542305,0.981458,1.323707,0,same_bs
22,online_dqn,4,10,29,0,0,0,0.451366,0.353198,0.353198,0.000000,1.542279,0.981643,1.323687,0,same_bs
22,online_dqn,4,11,25,0,0,0,0.451765,0.353198,0.353198,0.000000,1.542260,0.981778,1.323673,0,same_bs
22,online_dqn,4,12,2,0,0,0,0.451784,0.353198,0.353198,0.000000,1.542258,0.981784,1.323672,0,same_bs
22,online_dqn,4,13,59,0,0,0,0.458464,0.353198,0.353198,0.000000,1.541928,0.984054,1.323422,0,same_bs
22,online_dqn,4,14,60,0,0,0,0.458466,0.353198,0.353198,0.000000,1.541927,0.984055,1.323422,0,same_bs
22,online_dqn,4,15,57,0,0,0,0.458471,0.353198,0.353198,0.000000,1.541927,0.984057,1.323422,0,same_bs
22,online_dqn,4,16,26,0,0,0,0.458474,0.353198,0.353198,0.000000,1.541927,0.984057,1.323422,0,same_bs
22,online_dqn,4,17,52,0,0,0,0.458593,0.353198,0.353198,0.000000,1.541922,0.984098,1.323417,0,same_bs
22,online_dqn,4,18,4,0,0,0,0.458593,0.353198,0.353198,0.000000,1.541922,0.984098,1.323417,0,same_bs
22,online_dqn,4,19,16,0,0,0,0.458602,0.353198,0.353198,0.000000,1.541921,0.984101,1.323417,0,same_bs
22,online_dqn,4,20,22,0,0,0,0.458605,0.353198,0.353198,0.000000,1.541921,0.984102,1.323417,0,same_bs
22,online_dqn,4,21,73,0,0,0,0.458612,0.353198,0.353198,0.000000,1.541920,0.984105,1.323416,0,same_bs
22,online_dqn,4,22,58,0,0,0,0.459556,0.353198,0.353198,0.000000,1.541874,0.984425,1.323381,0,same_bs
22,online_dqn,4,23,72,0,0,0,0.460516,0.353198,0.353198,0.000000,1.541826,0.984752,1.323346,0,same_bs
22,online_dqn,4,24,41,0,0,0,0.461064,0.353198,0.353198,0.000000,1.541799,0.984938,1.323325,0,same_bs
22,online_dqn,4,25,35,0,0,0,0.461200,0.353198,0.353198,0.000000,1.541792,0.984983,1.323320,0,same_bs
22,online_dqn,4,26,43,1,1,2,0.574162,0.353198,0.353198,0.775448,0.345772,0.692543,1.467991,1,
22,online_dqn,4,27,75,2,2,0,0.672269,0.353198,0.353198,0.637479,2.251494,-0.928302,1.614014,1,
22,online_dqn,4,28,61,2,2,0,0.672269,0.353198,0.353198,0.477255,2.118382,-0.913003,1.641127,1,
22,online_dqn,4,29,68,2,2,0,0.672269,0.353198,0.353198,0.310181,1.979746,-0.887899,1.669565,1,
22,online_dqn,4,30,67,2,2,0,0.672269,0.353198,0.353198,0.160912,1.854002,-0.861147,1.693090,1,
22,online_dqn,4,31,77,2,2,0,0.672269,0.353198,0.353198,0.011644,1.728258,-0.834395,1.716614,1,
22,online_dqn,4,32,66,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,33,64,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,34,42,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,35,65,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,36,50,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,37,7,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,38,11,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
