seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,applied,skip_reason
1002,online_dqn,2,7,21,2,2,2,0.058335,0.233991,0.233991,0.000000,-5.468332,-5.480587,-3.082430,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058249,0.020952,0.019815,0.003409,0.000000,0,same_bs
1002,online_dqn,2,8,19,2,2,2,0.058335,0.233991,0.233991,0.000000,-5.468332,-5.480587,-3.082431,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058249,0.020952,0.019815,0.003409,0.000000,0,same_bs
1002,online_dqn,2,9,77,2,2,2,0.058468,0.233991,0.233991,0.000000,-5.468204,-5.480550,-3.082510,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058239,0.020955,0.019817,0.003409,0.000000,0,same_bs
1002,online_dqn,2,10,64,2,2,2,0.058472,0.233991,0.233991,0.000000,-5.468198,-5.480549,-3.082513,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058238,0.020955,0.019817,0.003409,0.000000,0,same_bs
1002,online_dqn,2,11,79,2,2,2,0.058472,0.233991,0.233991,0.000000,-5.468198,-5.480550,-3.082513,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058238,0.020955,0.019817,0.003409,0.000000,0,same_bs
1002,online_dqn,2,12,73,2,2,2,0.058473,0.233991,0.233991,0.000000,-5.468197,-5.480548,-3.082515,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058238,0.020955,0.019817,0.003409,0.000000,0,same_bs
1002,online_dqn,2,13,76,2,2,2,0.058475,0.233991,0.233991,0.000000,-5.468196,-5.480548,-3.082515,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.392054,0.058238,0.020955,0.019817,0.003409,0.000000,0,same_bs
1002,online_dqn,2,14,35,1,1,1,0.119803,0.233991,0.233991,0.000000,-4.421491,-1.427135,-6.180040,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.450428,0.056246,0.004101,0.003409,-0.012027,0.000000,0,same_bs
1002,online_dqn,2,15,61,1,1,1,0.298477,0.233991,0.233991,0.000000,-4.179680,-1.444633,-6.296671,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.424903,0.056246,0.004191,0.003409,-0.011948,0.000000,0,same_bs
1002,online_dqn,2,16,63,1,1,1,0.389067,0.233991,0.233991,0.000000,-4.058518,-1.459164,-6.349833,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.411961,0.056246,0.004241,0.003409,-0.011905,0.000000,0,same_bs
1002,online_dqn,2,17,1,0,0,0,0.414508,0.233991,0.233991,0.000000,-1.561839,-3.098009,-6.373670,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003409,0.003463,-0.001536,0.000000,0,same_bs
1002,online_dqn,2,18,41,0,0,0,0.414508,0.233991,0.233991,0.000000,-1.561839,-3.098009,-6.373670,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003409,0.003463,-0.001536,0.000000,0,same_bs
1002,online_dqn,2,19,74,0,0,0,0.414508,0.233991,0.233991,0.000000,-1.561839,-3.098009,-6.373670,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003409,0.003463,-0.001536,0.000000,0,same_bs
1002,online_dqn,2,20,80,0,0,0,0.414508,0.233991,0.233991,0.000000,-1.561839,-3.098009,-6.373670,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003409,0.003463,-0.001536,0.000000,0,same_bs
1002,online_dqn,2,21,16,0,0,0,0.414508,0.233991,0.233991,0.000000,-1.561839,-3.098009,-6.373670,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003409,0.003463,-0.001536,0.000000,0,same_bs
1002,online_dqn,2,22,13,0,0,0,0.414508,0.233991,0.233991,0.000000,-1.561839,-3.098009,-6.373670,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003409,0.003463,-0.001536,0.000000,0,same_bs
1002,online_dqn,2,23,7,0,0,0,0.414508,0.233991,0.233991,0.000000,-1.561839,-3.098009,-6.373670,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003409,0.003463,-0.001536,0.000000,0,same_bs
1002,online_dqn,2,24,10,1,1,1,0.489760,0.233991,0.233991,0.000000,-3.923934,-1.478909,-6.407134,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.397577,0.056246,0.004301,0.003409,-0.011853,0.000000,0,same_bs
1002,online_dqn,2,25,27,1,1,1,0.490851,0.233991,0.233991,0.000000,-3.922464,-1.479237,-6.407737,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.397421,0.056246,0.004301,0.003409,-0.011852,0.000000,0,same_bs
1002,online_dqn,2,26,25,1,1,1,0.490851,0.233991,0.233991,0.000000,-3.922464,-1.479237,-6.407737,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.397421,0.056246,0.004301,0.003409,-0.011852,0.000000,0,same_bs
1002,online_dqn,2,27,12,1,1,1,0.496717,0.233991,0.233991,0.000000,-3.914558,-1.480995,-6.410977,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.396583,0.056246,0.004305,0.003409,-0.011849,0.000000,0,same_bs
1002,online_dqn,2,28,4,1,1,1,0.497271,0.233991,0.233991,0.000000,-3.913811,-1.481160,-6.411283,0,29,23,28,96.500000,79.500000,58.166700,0.670416,0.396504,0.056246,0.004305,0.003409,-0.011849,0.000000,0,same_bs
1002,online_dqn,2,29,75,1,1,1,0.503145,0.233991,0.233991,0.000000,-4.678483,-1.495684,-6.024094,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003354,0.003409,-0.001588,0.000000,0,same_bs
1002,online_dqn,2,30,70,1,1,1,0.503145,0.233991,0.233991,0.000000,-4.678483,-1.495684,-6.024094,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003354,0.003409,-0.001588,0.000000,0,same_bs
1002,online_dqn,2,31,20,1,1,1,0.503145,0.233991,0.233991,0.000000,-4.678483,-1.495684,-6.024094,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003354,0.003409,-0.001588,0.000000,0,same_bs
1002,online_dqn,2,32,11,1,1,1,0.503145,0.233991,0.233991,0.000000,-4.678483,-1.495684,-6.024094,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003354,0.003409,-0.001588,0.000000,0,same_bs
1002,online_dqn,2,33,47,1,1,1,0.503145,0.233991,0.233991,0.000000,-4.678483,-1.495684,-6.024094,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003354,0.003409,-0.001588,0.000000,0,same_bs
1002,online_dqn,2,34,51,1,1,1,0.503145,0.233991,0.233991,0.000000,-4.678483,-1.495684,-6.024094,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003354,0.003409,-0.001588,0.000000,0,same_bs
1002,online_dqn,2,35,52,1,1,1,0.503145,0.233991,0.233991,0.000000,-4.678483,-1.495684,-6.024094,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.003354,0.003409,-0.001588,0.000000,0,same_bs
1002,online_dqn,2,36,46,0,0,0,0.682228,0.233991,0.233991,0.000000,-0.484282,-3.380154,-6.764867,0,29,23,28,96.500000,79.500000,58.166700,0.695149,0.392054,0.056246,0.003409,0.002350,-0.012691,0.000000,0,same_bs
